City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
2,Butaritari,KI,83.19,overcast clouds,3.07,172.79,Isles Sunset Lodge
11,Kapaa,US,86.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
13,Nouadhibou,MR,73.4,broken clouds,20.93,-17.03,El Medina
14,Auki,SB,83.95,moderate rain,-8.77,160.7,Auki Motel
16,Sola,VU,86.0,broken clouds,-13.88,167.55,Leumerus Bungalows
25,Mareeba,AU,82.4,few clouds,-17.0,145.43,Trinity Plains Tourist Park
26,Eydhafushi,MV,83.71,clear sky,5.1,73.07,Soneva Fushi
27,Dafeng,CN,84.13,clear sky,23.45,108.59,Shenglong Hotel
33,Kalmunai,LK,78.55,clear sky,7.42,81.82,VS Villa
37,Kamaishi,JP,78.8,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
39,Airai,TL,73.47,broken clouds,-8.93,125.41,Juvinal Martin
44,Carutapera,BR,77.29,clear sky,-1.2,-46.02,Lidera
45,Nisia Floresta,BR,77.0,scattered clouds,-6.09,-35.21,Rancho Crepusculo
46,Marawi,PH,82.99,clear sky,8.0,124.29,Salihmaruhom
50,Yunyang,CN,74.12,overcast clouds,33.45,112.71,Post & Telecom Hotel
57,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
60,Jamestown,US,73.4,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
63,Hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
64,Faanui,PF,76.32,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,Praia Da Vitoria,PT,71.6,few clouds,38.73,-27.07,Hotel Branco I
74,Isangel,VU,84.2,few clouds,-19.55,169.27,Volcano Sea View Tree House
80,Calamar,CO,78.1,light rain,10.25,-74.91,Canal del dique y rio magdalena
85,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
86,Kerrville,US,82.99,clear sky,30.05,-99.14,Inn Of The Hills Hotel & Conference Center
87,Atuona,PF,78.44,clear sky,-9.8,-139.03,Villa Enata
88,Bengkulu,ID,78.98,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
90,Meghraj,IN,77.4,moderate rain,23.5,73.5,Arvalli Society meghraj
91,Victoria,HK,87.01,few clouds,22.29,114.16,Mini Hotel Central
95,Kashi,CN,77.0,clear sky,39.45,75.98,帕米尔青年旅舍
96,Rincon,US,80.6,broken clouds,32.3,-81.24,Bent tree subdivision
97,Baoshan,CN,73.44,overcast clouds,46.56,131.42,Kelaixiang Restaurant
100,Tanete,ID,83.59,broken clouds,-3.94,119.78,Wisma Tri Multi
102,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
108,Portland,US,79.0,smoke,45.52,-122.68,Portland Marriott City Center
109,Robertsport,LR,76.6,moderate rain,6.75,-11.37,Kwepunha Retreat
113,Price,US,84.2,broken clouds,39.6,-110.81,National 9 - Price River Inn
114,Itoman,JP,82.4,light rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
117,Tezu,IN,81.34,overcast clouds,27.92,96.17,Circuit House
118,Port Blair,IN,82.53,overcast clouds,11.67,92.75,Fortune Resort Bay Island
120,Road Town,VG,82.0,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
124,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
126,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
127,Shache,CN,70.38,clear sky,38.42,77.24,Delong Hotel
128,San Quintin,MX,77.04,clear sky,30.48,-115.95,Old Mill Hotel
129,Griffith,US,78.01,clear sky,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
130,Tomatlan,MX,81.61,overcast clouds,19.93,-105.25,Norma franco
131,Khor,RU,70.14,scattered clouds,47.89,134.95,Gostinitsa Deksi
135,Humen,CN,89.01,scattered clouds,22.82,113.67,豪门大饭店
136,Cabo San Lucas,MX,87.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
137,Bandarbeyla,SO,76.48,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
138,Hailakandi,IN,77.4,scattered clouds,24.68,92.57,Hotel Purnolaxmi
143,Lagoa,PT,72.54,clear sky,39.05,-27.98,Casa Das Faias
145,Lumphat,KH,78.21,broken clouds,13.49,106.98,Lumphat Homestay
146,Lekoni,GA,73.24,overcast clouds,-1.58,14.26,Rendez-vous Des ChasseursD
147,Sao Filipe,CV,79.07,few clouds,14.9,-24.5,Tortuga B&B
149,Ponta Do Sol,PT,73.4,few clouds,32.67,-17.1,Hotel do Campo
151,Mindelo,CV,78.69,broken clouds,16.89,-24.98,Hotel Gaudi
152,Hithadhoo,MV,83.39,clear sky,-0.6,73.08,Scoop Guest House
154,Karaton,ID,82.4,haze,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
155,Ribeira Grande,PT,72.73,overcast clouds,38.52,-28.7,Quinta da Meia Eira
156,Meulaboh,ID,76.15,overcast clouds,4.14,96.13,Kost Pria
157,Natal,BR,77.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
159,Uacon,PH,85.01,overcast clouds,15.68,119.94,Trinidad Bay Resort
161,Hilo,US,84.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
164,Kaohsiung,TW,80.6,thunderstorm,22.62,120.31,Kindness Hotel
170,Birin,NP,77.0,broken clouds,26.89,88.07,HOTEL SURYODAYA
175,Katsuura,JP,79.0,moderate rain,35.13,140.3,Katsuura Hotel Mikazuki
180,College,US,75.2,shower rain,64.86,-147.8,Pike's Waterfront Lodge
183,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
185,Kavaratti,IN,82.89,light rain,10.57,72.64,Bismillah Hotel And Lodging
187,Los Alamos,US,80.6,scattered clouds,35.89,-106.31,Holiday Inn Express & Suites Los Alamos Entrada Park
188,Kudat,MY,84.2,few clouds,6.88,116.85,Dream Garden Hotel
190,Abashiri,JP,75.2,scattered clouds,44.02,144.27,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
192,Dwarka,IN,83.64,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
193,Suluq,LY,73.08,clear sky,31.67,20.25,ورشة الحضيري لاكترونات وخدمات النت
199,Baker City,US,80.6,clear sky,44.77,-117.83,Bridge Street Inn
200,Bitung,ID,86.0,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
201,Kavieng,PG,81.93,moderate rain,-2.57,150.8,Nusa Island Retreat
202,Pokaran,IN,86.85,broken clouds,26.92,71.92,Motel Pokaran - RTDC
203,Cockburn Town,TC,84.11,light rain,21.46,-71.14,Osprey Beach Hotel
205,Naze,JP,89.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
207,Broome,US,73.4,clear sky,42.25,-75.83,Chenango Valley State Park
210,Trairi,BR,77.32,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
211,Nuevo Progreso,MX,84.0,clear sky,23.17,-97.95,Balneario Rio el Paraiso
217,Hamilton,US,73.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
219,Namatanai,PG,82.72,moderate rain,-3.67,152.43,Namatanai Hotel
220,Mamallapuram,IN,82.4,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
227,Gimli,CA,70.0,overcast clouds,50.63,-96.99,Lakeview Gimli Resort
228,Vila Do Maio,CV,80.6,few clouds,15.13,-23.22,Residence 'I Delfini'
233,Gat,IL,77.0,clear sky,31.61,34.76,רגע בנחת
234,Jining,CN,79.21,broken clouds,35.41,116.58,Yunhe Star Hotel
236,Alghero,IT,73.4,clear sky,40.56,8.32,Hotel Carlos V
237,Zaltan,LY,78.44,clear sky,32.95,11.87,زلطن الشرقية
241,Tual,ID,79.0,clear sky,-5.67,132.75,Grand Vilia Hotel
247,Salinopolis,BR,78.75,clear sky,-0.61,-47.36,Hotel Salinópolis
249,Vanimo,PG,83.98,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
252,Tawau,MY,84.2,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
253,Port Hedland,AU,82.4,clear sky,-20.32,118.57,The Esplanade Hotel
255,Pitimbu,BR,73.4,scattered clouds,-7.47,-34.81,Reserva do Abiaí
256,Pombia,IT,78.01,scattered clouds,45.65,8.63,Albergo Fontana
257,Port Moresby,PG,84.2,haze,-9.44,147.18,Lamana Hotel
258,Marsa Matruh,EG,78.8,clear sky,31.35,27.25,Beau Site
261,Concepcion Del Oro,MX,71.73,few clouds,24.63,-101.42,HOTEL HACIENDA SAN JAVIER
262,Sakaiminato,JP,80.6,light intensity shower rain,35.55,133.23,味処・民宿 まつや
266,Meadow Lake,US,89.6,thunderstorm,34.8,-106.54,JKL Inc. R.V Park and Storage
268,Arona,ES,82.0,clear sky,28.1,-16.68,Paradise Court
269,Hami,CN,77.77,clear sky,42.8,93.45,Laoyutang Resort
271,Innisfail,AU,73.81,scattered clouds,-17.53,146.03,Moondarra Motel
273,San Jose,US,84.2,smoke,37.34,-121.89,The Westin San Jose
276,Coruripe,BR,72.7,light rain,-10.13,-36.18,Pousada e Hotel Litoral Sul
277,Atambua,ID,83.07,few clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
279,Pemangkat,ID,77.16,overcast clouds,1.17,108.97,Kost H.Syamsuddin
287,Mogadishu,SO,75.85,light rain,2.04,45.34,Hotel Juba
290,Aswan,EG,81.1,clear sky,24.09,32.91,Nuba Nile
294,Jeremie,HT,82.62,clear sky,18.65,-74.12,Auberge Inn
296,Cururupu,BR,74.66,clear sky,-1.83,-44.87,Pousada Través'cia
298,Buala,SB,84.74,light rain,-8.14,159.59,Maringe Lagoon Lodge
299,Phan Thiet,VN,82.51,overcast clouds,10.93,108.1,Hotel Saigon-PT
301,Virginia Beach,US,81.0,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
303,Boueni,YT,73.4,heavy intensity drizzle rain,-12.9,45.08,Auberge bouloulou( inter djasmire )
305,Korla,CN,73.0,clear sky,41.76,86.15,Gulisitan Hotel
307,Eyl,SO,76.57,broken clouds,7.98,49.82,Amiin Hotel
308,Gopalpur,IN,81.72,overcast clouds,19.27,84.92,Swosti Palm Resort
313,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
316,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
317,Roebourne,AU,80.37,clear sky,-20.78,117.13,Harding River Caravan Park
318,Bintulu,MY,78.8,thunderstorm,3.17,113.03,900 Boutique INN
329,Goderich,CA,81.0,overcast clouds,43.75,-81.72,Harmony Inn
333,Kerema,PG,79.77,light rain,-7.96,145.78,Elore Lodge
334,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
