City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gravelbourg,CA,2020-08-21 02:36:41,49.88,-106.55,74.34,49,100,2.42
1,Port Macquarie,AU,2020-08-21 02:30:35,-31.43,152.92,66.0,33,63,1.99
2,Tabou,CI,2020-08-21 02:35:59,4.42,-7.35,74.97,84,70,10.29
3,Ostrovnoy,RU,2020-08-21 02:35:04,68.05,39.51,55.51,80,100,14.7
4,Barrow,US,2020-08-21 02:34:09,71.29,-156.79,46.4,87,90,9.17
5,Evensk,RU,2020-08-21 02:36:42,61.95,159.23,49.19,87,100,27.16
6,Touros,BR,2020-08-21 02:35:26,-5.2,-35.46,75.2,94,40,6.93
7,Rikitea,PF,2020-08-21 02:33:34,-23.12,-134.97,66.18,78,100,25.34
8,Vaini,TO,2020-08-21 02:34:29,-21.2,-175.2,80.6,83,75,4.7
9,Tasiilaq,GL,2020-08-21 02:34:33,65.61,-37.64,39.2,86,0,1.12
10,Pisco,PE,2020-08-21 02:36:43,-13.7,-76.22,60.8,82,75,2.48
11,Novyy Urengoy,RU,2020-08-21 02:36:43,66.08,76.63,56.14,93,100,2.68
12,Nantucket,US,2020-08-21 02:36:44,41.28,-70.1,64.4,93,1,6.93
13,Altamirano,MX,2020-08-21 02:36:44,16.88,-92.15,59.63,100,100,1.5
14,Hermanus,ZA,2020-08-21 02:34:18,-34.42,19.23,46.99,96,5,3.0
15,Yellowknife,CA,2020-08-21 02:30:07,62.46,-114.35,57.2,54,20,6.93
16,Panikian,PH,2020-08-21 02:36:44,7.01,126.02,82.4,78,20,5.82
17,Bluff,NZ,2020-08-21 02:34:05,-46.6,168.33,50.0,96,100,3.0
18,Deputatskiy,RU,2020-08-21 02:35:57,69.3,139.9,39.76,72,97,1.9
19,Mananara,MG,2020-08-21 02:36:45,-16.17,49.77,68.68,89,91,5.1
20,Mount Isa,AU,2020-08-21 02:35:49,-20.73,139.5,75.2,15,0,11.41
21,Dikson,RU,2020-08-21 02:34:22,73.51,80.55,45.07,75,0,17.98
22,Fortuna,US,2020-08-21 02:34:58,40.6,-124.16,69.01,84,1,1.01
23,Kincardine,GB,2020-08-21 02:36:46,56.07,-3.72,62.6,67,100,13.87
24,Thompson,CA,2020-08-21 02:30:52,55.74,-97.86,66.2,55,20,4.7
25,Leningradskiy,RU,2020-08-21 02:34:06,69.38,178.42,44.22,84,99,7.74
26,Choix,MX,2020-08-21 02:36:47,26.71,-108.32,80.73,76,81,2.04
27,Predivinsk,RU,2020-08-21 02:36:47,57.07,93.44,70.18,51,53,6.15
28,Hobart,AU,2020-08-21 02:30:03,-42.88,147.33,51.01,48,75,8.05
29,Lata,PT,2020-08-21 02:36:48,40.16,-8.33,64.99,96,35,1.07
30,Nikolskoye,RU,2020-08-21 02:34:06,59.7,30.79,53.6,81,0,3.65
31,Surt,LY,2020-08-21 02:36:12,31.21,16.59,78.33,77,0,8.81
